lemma,level,english,example_de,example_en,cases,notes,approved,sources_csv,source_notes
ab,A1,beginning at that time or location; from,Ab heute verfügbar.,Available from today.,,,false,dwds-goethe-A1.csv; Manual Apply,https://www.dwds.de/wb/ab#1
an,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/an#1
auf,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/auf#1
aus,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/aus#1
bei,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/bei#1
durch,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/durch#1
für,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/f%C3%BCr#1
gegen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/gegen
in,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/in#1
mit,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/mit#1
nach,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/nach#1
um,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/um#1
unter,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/unter#1
von,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/von#1
vor,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/vor#1
zu,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zu#1
zwischen,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/zwischen
über,A1,,,,,,false,dwds-goethe-A1.csv,https://www.dwds.de/wb/%C3%BCber#1
außer,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/au%C3%9Fer#1
gegenüber,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/gegen%C3%BCber#1
hinter,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/hinter#1
neben,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/neben
pro,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/pro#1
wegen,A2,,,,,,false,dwds-goethe-A2.csv,https://www.dwds.de/wb/wegen
einschließlich,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/einschlie%C3%9Flich#1
inklusive,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/inklusive#1
innerhalb,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/innerhalb#1
per,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/per
statt,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/statt#2
trotz,B1,,,,,,false,dwds-goethe-B1.csv,https://www.dwds.de/wb/trotz
